iter	Logloss
0	0.6167455469
1	0.5500734476
2	0.4992924629
3	0.464270502444	0.426815113255	0.4070746588
6	0.387350190277	0.372041488	08	0.361743039	09	0.3535480224
10	0.3446756211	11	0.336668612	012	0.330560913	013	0.323351914	014	0.320148815	0.3159011314
16	0.3131609004
17	0.3096810008
18	0.3057451881
19	0.3025816479
20	0.3013252801
21	0.2992501028
22	0.2978778306
23	0.2969937536
24	0.2964535905
25	0.2939262934
26	0.2934540459
27	0.2919973658
28	0.2904382818
29	0.2893928571
30	0.2875063442
31	0.2867956434
32	0.2864824865
33	0.2861694309
34	0.2857121743
35	0.2856038516336	0.283884489637	0.2537227002
338	0.2833462265339	0.2830691181440	0.2823790333441	0.2820814205442	0.2811599408443	0.2808737982444	0.2806111226445	0.280307275
46	0.2800731514
47	0.2798057386
48	0.278583183
49	0.2780289374
550	0.277296810251	0.2774812343
52	0.2770632545
553	0.2760505454	54	0.2757778855	0.2762183924
5656	0.2754732555757	0.27516176958	0.2747841487
59	0.2741373359
60	0.2738767641
61	0.2731398154
62	0.2730136187
63	0.2728589506
64	0.2726675968
65	0.2721848944
66	0.2720486672
67	0.2718860532
68	0.2717473803
69	0.2715524986
70	0.2712398316
71	0.2711326948
72	0.2710011672
73	0.2707040771774	0.2705473033
75	0.270425176776	0.270088180177	0.2352089213
78	0.2349498693
779	0.268862998080	0.2703992053
81	0.2701737008
882	0.268190742
83	0.2681048632
84	0.2679952348585	0.267600479
86	0.2673979591
87	0.2672000656
88	0.2669514903
89	0.2668430656
90	0.2667585579
91	0.2666383734
92	0.2661949742
93	0.2661427774994	0.2660834349995	0.2658300151996	0.2654829124
97	0.265362239
98	0.2648251092
99	0.2647010171
100	0.2646135426
101	0.227209984102	0.2644472299
103	0.2641767317
104	0.2640817113
105	0.2639416681
106	0.2638538269
107	0.2637302946
108	0.2636093921
109	0.2634830314
110	0.2632844338
111	0.2631949599
112	0.2630962592
113	0.2630232205
114	0.2629522273
115	0.26258509311116	0.22351407911117	0.26238289611118	0.26227592119119	0.26215273120120	0.2620103614
121	0.2618647166
122	0.2617721406
123	0.2616088265
124	0.26147476125125	0.26136006126126	0.2612662177
127	0.2611611914
128	0.2610463875
129	0.26095221130130	0.2606408351
131	0.26049773132132	0.2603630013133	0.26026888113134	0.26017580113135	0.25996752136136	0.25986718137137	0.25975166138	0.2178787722
139	0.2177502528
140	0.2175155358
141	0.25907818711142	0.25898718631143	0.25888327711144	0.25880151691145	0.25871250614146	0.25861567414147	0.25852151614148	0.2584202551149	0.25836007661150	0.2582255936
151	0.258089523
152	0.2580202938
153	0.2578891297
154	0.2569969584
155	0.2568855105
156	0.2566474106
157	0.2565317824
158	0.2559526174
159	0.2556396466160	0.2114189842
161	0.2112878442
162	0.2111488437
163	0.2110470582
164	0.2109389246
165	0.2107129316
166	0.2105222757
167	0.2104222659
168	0.2102319492
169	0.2100533672
170	0.2099573947
171	0.209877615
172	0.2096893421
173	0.2095756136
174	0.2094576402
175	0.2093811707
176	0.2092318308
177	0.2091200565
178	0.208981269
179	0.2088460563
180	0.2087466715
181	0.2085466274
182	0.2084464633
183	0.2083599926
184	0.2082251612
185	0.2081011608
186	0.2079963938
187	0.2078694243
188	0.2077580646
189	0.2075852098
190	0.2073436767
191	0.2072186273
192	0.2070782226
193	0.2068196588
194	0.2067377325
195	0.2066145575
196	0.206519271
197	0.2064002225
198	0.2061322884
199	0.2059990849
200	0.2059081514
201	0.2057738707
202	0.2052013083
203	0.2050981615
204	0.2049881577
205	0.2048682323
206	0.2047463595
207	0.2045318195
208	0.2044359348
209	0.2042766849
210	0.2041595445
211	0.204050908
212	0.2039948859
213	0.2039116384
214	0.2038023769
215	0.2036905222
216	0.2035555042
217	0.2034383388
218	0.203353668
219	0.2032525248
220	0.20313293
221	0.2029860033
222	0.2028672013
223	0.2027606118
224	0.2026146599
225	0.2025251269
226	0.2024185091
227	0.2023316886
228	0.2022185215
229	0.2021510703
230	0.2020870831
231	0.2020105332
232	0.2018835837
233	0.2017646963
234	0.201660393
235	0.2015815549
236	0.2014664799
237	0.2013612349
238	0.2011933228
239	0.2010954958
240	0.2010339515
241	0.2009453292
242	0.2008735236
243	0.2007641574
244	0.2005459007
245	0.2004279239
246	0.2003098907
247	0.2002086093
248	0.2001144523
249	0.2000536547
250	0.199937204
251	0.1998525222
252	0.1997677721
253	0.199653257
254	0.1995449521
255	0.1994220146
256	0.1992644473
257	0.199176506
258	0.1990695918
259	0.1989435579
260	0.1988209955
261	0.1985401772
262	0.198426464
263	0.1983140212
264	0.1981991593
265	0.1981038908
266	0.197834168
267	0.1977411652
268	0.1975580016
269	0.1974361727
270	0.1973494459
271	0.1972342797
272	0.1971391046
273	0.1970309724
274	0.196838265
275	0.1967485917
276	0.196634816
277	0.1964888609
278	0.1961784988
279	0.1960733687
280	0.1959875227
281	0.1958995777
282	0.1957716352
283	0.1956461845
284	0.1955609381
285	0.1954698972
286	0.195359507
287	0.1952833388
288	0.1952276125
289	0.1951586283
290	0.1950709785
291	0.1949802241
292	0.1948558983
293	0.1947689186
294	0.1946937918
295	0.1946214456
296	0.1945042881
297	0.1944005633
298	0.1943499248
299	0.1942465399
300	0.1941367643
301	0.1940515991
302	0.193968942
303	0.1938702348
304	0.1937860415
