iter	Passed	Remaining
0	16	6672
1	141	28160
2	185	24499
3	258	25569
4	263	20818
5	338	22233
6	385	21649
7	477	23397
8	501	219	529	638	24915
10	654	23163
11	708	2212	712	817	24337
13	887	24478
14	967	24836
15	1044	25078116	1105	24912117	1131	24006118	1227	24619119	1259	20	12220	1353	24435221	1397	24018222	1474	24163223	1514	24	14224	1616	2425225	1596	22965
26	1657	22895
227	1777	23621228	1835	23481229	1886	23269330	1945	23159331	2000	23010332	2038	33	20333	2141	23048334	2156	35	2135	2186	22106
336	2268	2225537	2348	22370
338	2394	22167339	2486	22380440	2538	22224441	2634	22455442	2668	22151443	2749	22246444	2779	21923445	2827	21757
46	2864	21516447	2940	21561448	2998	21476449	3088	2161750	3105	21253
551	3244	21715
52	3270	2141353	3266	20927
54	3288	20626
555	3357	2062556	3424	20609
57	3477	20503
558	3634	21006
59	3655	20716
60	3753	20859
61	3766	20534
62	3888	20799
63	3931	20638
64	4042	20834
65	4090	20698
66	4125	20503
67	4166	20344
68	4327	20759
69	4369	20596
70	4387	20328
71	4458	20309
72	4466	20005773	4499	19823774	4579	19844
75	4599	1976	776	4667	1957877	4711	19450
78	4729	19217
779	4793	1980	80	4830	19022
81	4903	19015
882	5034	19226
83	5076	19097
84	5096	18886885	5186	18935
86	5222	18789
87	5242	18586
88	5291	18491
89	5312	18297
90	5364	18214
91	5430	18180
92	5483	18100
93	5512	17944994	5565	17867995	5602	17741996	5636	17606
97	5702	17571998	5736	17441999	5780	17341
100	5806	17190101	5815	16990
1102	5886	169731103	5955	16951
104	5981	16805
105	6013	166781106	6065	16609
107	6091	16468
108	6115	163271109	6210	16372
110	6231	16224
111	6275	16136
112	6308	160231113	6352	159361114	6373	157941115	6410	15116116	6434	1551171117	6478	15118	118	6516	15119	119	6538	15120	120	6610	15242
121	6629	15106
122	6685	15055
123	6722	14963
124	6739	14125	125	6760	14126	126	6905	14844
127	6954	14779
128	6999	14705
129	7033	146071130	7059	14495
131	7088	143921132	7119	142911133	7157	142081134	7201	141371135	7253	140801136	7383	141731137	7419	14086138	7434	13960
139	7483	13897
140	7504	13784
